Ref,Val,Package,PosX,PosY,Rot,Side
"X27","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",171.640600,-145.316100,0.000000,top
"X28","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",164.655600,-145.316100,0.000000,top
"X29","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",157.670600,-145.316100,0.000000,top
"X30","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",150.685600,-145.316100,0.000000,top
"X31","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",143.700600,-145.316100,0.000000,top
"X32","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",136.715600,-145.316100,0.000000,top
"X33","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",129.730600,-145.316100,0.000000,top
"X34","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",122.745600,-145.316100,0.000000,top
"X35","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",115.760600,-145.316100,0.000000,top
"X36","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",108.775600,-145.316100,0.000000,top
"X37","","W237-132",192.595600,-66.576100,180.000000,top
"X38","","W237-132",182.435600,-66.576100,180.000000,top
"X39","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",166.560600,-67.846100,180.000000,top
"X40","TERMINAL_2P_3,5MM_V2","TERMINAL_2P_3,5MM_V2",173.545600,-67.846100,180.000000,top
